replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/likelihood Loss Mean,trainer/likelihood Loss Std,trainer/likelihood Loss Max,trainer/likelihood Loss Min,trainer/Bellman Errors 1 Mean,trainer/Bellman Errors 1 Std,trainer/Bellman Errors 1 Max,trainer/Bellman Errors 1 Min,trainer/Bellman Errors 2 Mean,trainer/Bellman Errors 2 Std,trainer/Bellman Errors 2 Max,trainer/Bellman Errors 2 Min,exploration/num steps total,exploration/num paths total,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/training (s),time/epoch (s),time/total (s),Epoch
999998,9.387381,7.9282446,0,0,-300.18646,-0.07315682,0.08100475,0.13032629,-0.30822325,0.17440835,0.23903614,0.82284236,-0.16422433,2.8756642,0.7863921,5.133535,0.8816597,26.046957,4.597598,39.575478,19.77773,9.387381,5.066915,28.969296,0.8282284,7.9282446,4.542449,24.76488,0.7998169,0,0,4979,179,27.81564245810056,0.3877755003145983,28,27,0.8916006818386221,0.06049587428259561,1.0008186903933853,0.7996255734208028,24.800445781421782,0.3824466599283599,25.23135919548589,23.841833493593832,-0.016902199,0.022861805,0.04029373,-0.055156898,179,24.800445781421782,3.0598063920042478,0.0064301660167984664,11.549389663006878,14.615626221027924,36.89184126505279,0
999998,10.62665,9.179163,0,0,-116.40606,-0.0686116,0.083716996,0.19972837,-0.32118964,0.15359336,0.24202959,0.85646653,-0.1694622,3.077776,0.8123499,5.163408,0.9497738,23.104397,3.529864,38.125904,18.794823,10.62665,5.394821,29.086004,0.9799389,9.179162,4.6691837,24.333508,0.8819014,0,0,9959,358,27.821229050279328,0.38316040669234075,28,27,0.8914852474392252,0.06045103044758935,1.0007591387423145,0.7933316450599678,24.802215263951627,0.3864318568695352,25.309398104831157,23.823599722398036,-0.016869951,0.022933053,0.040181305,-0.056776464,179,24.802215263951627,2.5580730230140034,0.005794318014523014,11.38413749798201,13.948004839010537,50.84156285895733,1
999998,10.339919,9.034557,0,0,-154.19225,-0.071640104,0.07512467,0.14827083,-0.3277939,0.1339302,0.23113082,0.8024894,-0.16082162,3.027239,0.82327884,5.0057287,0.91261846,20.668129,2.9097033,37.580227,17.485428,10.339918,5.3210797,27.19552,0.86822593,9.034557,4.7179947,23.79901,0.8180093,0,0,14945,537,27.854748603351954,0.3523541236027146,28,27,0.8911974269096735,0.06056307966833176,1.0006187966246873,0.7859755153061995,24.824080282523084,0.3566130996390614,25.290938093355447,23.88228037139102,-0.01688646,0.022909384,0.04025934,-0.056197386,179,24.824080282523084,2.5646298640058376,0.005901390017243102,11.345894425001461,13.916425679024542,64.75940169102978,2
999998,10.358921,8.833723,0,0,-168.87971,-0.07184614,0.07897442,0.16853873,-0.35344964,0.16088423,0.24630898,0.86350185,-0.16912994,3.0133214,0.8816217,5.020296,0.90025014,19.639568,3.1178613,39.562664,16.284464,10.358921,5.559876,27.083933,0.82948756,8.833723,4.7530336,22.891195,0.80850846,0,0,19930,716,27.849162011173185,0.3578908911295412,28,27,0.8922495552969231,0.060133336655045604,1.0007060190305426,0.7989149218948753,24.848402419861237,0.3465999285718436,25.259214648727323,23.847262890562455,-0.016883159,0.022824856,0.040164646,-0.056590747,179,24.848402419861237,2.5775104009953793,0.0057751119893509895,11.386420149996411,13.969705662981141,78.73047080304241,3
999998,9.804024,8.398983,0,0,-194.09656,-0.067062914,0.0794894,0.104980156,-0.30979824,0.15412311,0.23255779,0.8657572,-0.18364269,2.9290063,0.8727069,5.0282288,0.8752928,18.542076,2.7008855,33.20236,15.496006,9.804024,5.467293,27.4093,0.7325875,8.398983,4.705769,23.412752,0.73534584,0,0,24909,895,27.81564245810056,0.3877755003145983,28,27,0.8913563370673734,0.060607626608199544,1.0007653288116065,0.7974442443134311,24.793649174628225,0.3883334282439108,25.25599494497914,23.826373502356105,-0.01693841,0.022837032,0.040312286,-0.055466563,179,24.793649174628225,2.567642331996467,0.005731440003728494,11.341148545005126,13.914522317005321,92.6463083990675,4
999998,9.913454,8.366118,0,0,-29.943161,-0.06518398,0.07766314,0.12394871,-0.32099056,0.1801981,0.25120014,0.8976693,-0.1442548,2.9666517,0.8103906,5.1285014,0.9012257,17.281036,2.009533,24.703169,14.134897,9.913454,5.083895,27.830711,0.75494784,8.366118,4.3230977,24.908812,0.80938554,0,0,29886,1074,27.804469273743017,0.3966087005429911,28,27,0.8919868283049099,0.060230837077387,1.0007469422051654,0.7931439548153664,24.801220360187354,0.40007553011938196,25.284128738702833,23.83265161655232,-0.016884254,0.022813316,0.040094275,-0.056467313,179,24.801220360187354,2.5345320769993123,0.005897492985241115,11.329522715997882,13.869952285982436,106.51755179508473,5
999998,10.33907,8.795449,0,0,-189.87164,-0.07321054,0.07043231,0.106127605,-0.31652832,0.16752487,0.25078654,0.82054055,-0.16784012,3.0299373,0.81194514,5.3657513,0.9182154,16.841387,2.647526,32.209763,13.354678,10.33907,5.1645217,31.299728,0.8200737,8.795449,4.471365,26.915247,0.8436133,0,0,34862,1253,27.798882681564248,0.40083555563468376,28,27,0.8919326655289079,0.060224506126737104,1.0008215491807035,0.7927914912990709,24.794731528892992,0.40266809364138517,25.272125597846212,23.85569495631598,-0.016854845,0.022964453,0.0402196,-0.056002155,179,24.794731528892992,2.5392532059922814,0.005733844998758286,11.325490981020266,13.870478032011306,120.3893786490662,6
999998,10.603105,9.140456,0,0,-335.62717,-0.0758417,0.07886615,0.13527076,-0.3926807,0.15582657,0.23492476,0.7907667,-0.16674185,3.0664878,0.8165678,5.205347,0.8929189,15.550052,2.3837473,25.220211,12.105934,10.603104,5.158414,29.971254,0.7500553,9.140455,4.6423593,25.044552,0.8023749,0,0,39849,1432,27.860335195530727,0.3466389286589625,28,27,0.891613953987556,0.06008887840489391,1.0008314098273852,0.7968696255453536,24.84066362310583,0.33912301070927825,25.275753781634542,23.890796258691307,-0.016858852,0.022819487,0.040271018,-0.056319073,179,24.84066362310583,2.5715981170069426,0.00575744902016595,11.283761580009013,13.861117146036122,134.2517735431611,7
999998,10.370075,8.986038,0,0,-227.97734,-0.0741705,0.075686276,0.13193212,-0.3195536,0.13647974,0.22700423,0.8213425,-0.1513161,3.0194874,0.86113024,5.21611,0.94937444,15.024374,2.679718,35.919582,11.563324,10.370075,5.335211,28.497545,1.0118406,8.986038,4.60022,23.652502,0.9630111,0,0,44831,1611,27.83240223463687,0.37350870727255375,28,27,0.8916364291301551,0.060306162551610705,1.0003707884742936,0.7966007674595093,24.816383742605762,0.36702584730993415,25.281157584917636,23.777578005619954,-0.016915746,0.022861896,0.040219948,-0.05633711,179,24.816383742605762,2.5337530380056705,0.005727312003728002,11.334379307983909,13.873859657993307,148.12690891415696,8
999998,9.831291,8.461595,0,0,-175.45775,-0.07014134,0.078238904,0.13968612,-0.35088784,0.14970589,0.24242151,0.84372026,-0.15359405,2.9610622,0.76656103,4.589971,0.9077717,13.924205,3.007685,30.11562,10.40507,9.831291,4.7948155,23.294567,0.9154808,8.461595,4.1974053,20.667936,0.85216486,0,0,49814,1790,27.837988826815643,0.368461060286953,28,27,0.8915969681961734,0.06036766127964576,1.0007793021927995,0.7940186679845729,24.820266438667772,0.36927453598179844,25.220402543395323,23.891871810877042,-0.01691558,0.022813156,0.040204223,-0.0544914,179,24.820266438667772,2.5570862269960344,0.005770002986537293,11.367796734004514,13.930652963987086,162.05881510811741,9
